,Generation,FP,FN,Number of Elements
0,0.0,inf,inf,inf
1,1.0,inf,inf,inf
2,2.0,inf,inf,inf
3,3.0,inf,inf,inf
4,4.0,inf,inf,inf
5,5.0,21.4,31.0,37.0
6,6.0,21.4,31.0,37.0
7,7.0,21.4,31.0,37.0
8,8.0,21.4,31.0,37.0
9,9.0,21.4,31.0,37.0
10,10.0,21.4,31.0,37.0
11,11.0,21.4,31.0,37.0
12,12.0,11.4,20.8,49.0
13,12.0,12.4,20.4,49.0
14,12.0,21.4,31.0,37.0
15,13.0,11.4,20.8,49.0
16,13.0,12.4,20.4,49.0
17,13.0,21.4,31.0,37.0
18,14.0,11.4,20.8,49.0
19,14.0,12.4,20.4,49.0
20,14.0,21.4,31.0,37.0
21,15.0,11.4,20.8,49.0
22,15.0,12.4,20.4,49.0
23,15.0,21.4,31.0,37.0
24,16.0,11.4,20.8,38.0
25,16.0,12.4,20.4,49.0
26,16.0,21.4,31.0,29.0
27,17.0,11.4,20.8,38.0
28,17.0,12.4,20.4,49.0
29,17.0,21.4,31.0,29.0
30,18.0,11.4,20.8,38.0
31,18.0,12.4,20.4,49.0
32,18.0,15.4,20.6,43.0
33,18.0,16.2,18.6,54.0
34,18.0,21.4,31.0,29.0
35,19.0,11.4,20.8,38.0
36,19.0,12.4,20.4,49.0
37,19.0,15.4,20.6,43.0
38,19.0,16.2,18.6,54.0
39,19.0,21.4,31.0,29.0
40,20.0,11.4,20.8,38.0
41,20.0,12.4,20.4,49.0
42,20.0,15.4,20.6,38.0
43,20.0,16.2,18.6,54.0
44,20.0,21.4,31.0,29.0
45,21.0,11.4,20.8,38.0
46,21.0,12.4,20.4,49.0
47,21.0,15.4,20.6,27.0
48,21.0,16.2,18.6,48.0
49,22.0,8.199999999999998,24.8,50.0
50,22.0,11.4,20.8,38.0
51,22.0,12.4,20.4,49.0
52,22.0,15.4,20.6,21.0
53,22.0,16.2,18.6,48.0
54,23.0,8.199999999999998,24.8,50.0
55,23.0,11.4,20.8,38.0
56,23.0,12.4,20.4,49.0
57,23.0,15.4,20.6,21.0
58,23.0,16.2,18.6,48.0
59,24.0,8.199999999999998,24.8,50.0
60,24.0,11.4,20.8,37.0
61,24.0,12.4,20.4,49.0
62,24.0,15.4,20.6,21.0
63,24.0,15.8,18.8,52.0
64,24.0,16.2,18.6,38.0
65,24.0,18.8,19.0,29.0
66,25.0,8.199999999999998,24.8,50.0
67,25.0,11.4,20.8,38.0
68,25.0,11.6,21.0,36.0
69,25.0,12.4,20.4,49.0
70,25.0,14.0,18.8,58.0
71,25.0,15.4,20.6,21.0
72,25.0,16.2,18.6,38.0
73,26.0,8.199999999999998,24.8,50.0
74,26.0,11.4,20.8,37.0
75,26.0,11.6,21.0,36.0
76,26.0,12.4,20.4,49.0
77,26.0,14.0,18.8,58.0
78,26.0,15.4,20.6,21.0
79,26.0,16.2,18.6,38.0
80,27.0,6.8,52.2,64.0
81,27.0,8.199999999999998,24.8,50.0
82,27.0,11.4,20.8,37.0
83,27.0,11.6,21.0,36.0
84,27.0,12.4,20.4,49.0
85,27.0,14.0,18.8,58.0
86,27.0,15.4,20.6,21.0
87,27.0,16.2,18.6,36.0
88,27.0,18.8,19.0,29.0
89,28.0,5.4,41.2,38.0
90,28.0,8.199999999999998,24.8,50.0
91,28.0,11.4,20.8,37.0
92,28.0,11.6,21.0,36.0
93,28.0,12.4,20.4,49.0
94,28.0,14.0,18.8,58.0
95,28.0,15.4,20.6,21.0
96,28.0,15.8,18.8,52.0
97,28.0,16.2,18.6,36.0
98,28.0,18.8,19.0,29.0
99,29.0,5.4,41.2,38.0
100,29.0,8.199999999999998,24.8,50.0
101,29.0,11.4,20.8,37.0
102,29.0,11.6,21.0,36.0
103,29.0,12.4,20.4,49.0
104,29.0,14.0,18.8,58.0
105,29.0,15.4,20.6,21.0
106,29.0,15.8,18.8,52.0
107,29.0,16.2,18.6,36.0
108,29.0,18.8,19.0,29.0
109,30.0,5.4,41.2,38.0
110,30.0,8.199999999999998,24.8,50.0
111,30.0,11.4,20.8,37.0
112,30.0,11.6,20.2,42.0
113,30.0,11.6,21.0,34.0
114,30.0,14.0,18.8,58.0
115,30.0,15.4,20.6,21.0
116,30.0,15.8,18.8,52.0
117,30.0,16.2,18.6,36.0
118,30.0,18.8,19.0,29.0
119,31.0,4.8,60.4,41.0
120,31.0,5.4,41.2,38.0
121,31.0,8.199999999999998,24.8,50.0
122,31.0,11.4,20.8,37.0
123,31.0,11.6,20.2,42.0
124,31.0,11.6,21.0,34.0
125,31.0,14.0,18.8,58.0
126,31.0,15.4,20.6,21.0
127,31.0,15.8,18.8,52.0
128,31.0,16.2,18.6,36.0
129,31.0,18.8,19.0,29.0
130,32.0,0.0,68.40000000000002,56.0
131,32.0,4.8,60.4,41.0
132,32.0,5.4,41.2,38.0
133,32.0,8.199999999999998,24.8,50.0
134,32.0,11.4,20.8,37.0
135,32.0,11.6,20.2,42.0
136,32.0,11.6,21.0,34.0
137,32.0,12.2,19.4,61.0
138,32.0,12.4,20.4,31.0
139,32.0,14.0,18.8,58.0
140,32.0,15.4,20.6,21.0
141,32.0,15.8,18.8,52.0
142,32.0,16.2,18.6,36.0
143,32.0,18.8,19.0,29.0
144,33.0,0.0,68.40000000000002,56.0
145,33.0,4.8,60.4,41.0
146,33.0,5.4,41.2,38.0
147,33.0,8.199999999999998,24.8,50.0
148,33.0,11.4,20.8,34.0
149,33.0,11.6,20.2,42.0
150,33.0,11.6,21.0,30.0
151,33.0,12.2,19.4,61.0
152,33.0,12.4,20.4,31.0
153,33.0,14.0,18.8,58.0
154,33.0,15.4,20.6,21.0
155,33.0,15.8,18.8,45.0
156,33.0,16.2,18.6,36.0
157,33.0,18.8,19.0,29.0
158,34.0,0.0,68.40000000000002,56.0
159,34.0,4.8,60.4,41.0
160,34.0,5.4,41.2,38.0
161,34.0,8.199999999999998,24.8,50.0
162,34.0,11.4,20.8,34.0
163,34.0,11.6,20.2,42.0
164,34.0,11.6,21.0,30.0
165,34.0,12.2,19.4,61.0
166,34.0,12.4,20.4,31.0
167,34.0,14.0,18.8,58.0
168,34.0,15.4,20.6,21.0
169,34.0,15.8,18.8,45.0
170,34.0,16.2,18.6,36.0
171,34.0,18.8,19.0,29.0
172,35.0,0.0,68.40000000000002,54.0
173,35.0,4.8,60.4,41.0
174,35.0,5.4,41.2,38.0
175,35.0,8.199999999999998,24.8,50.0
176,35.0,11.4,20.8,34.0
177,35.0,11.6,20.2,42.0
178,35.0,11.6,21.0,30.0
179,35.0,12.2,19.4,61.0
180,35.0,12.4,20.4,31.0
181,35.0,12.8,18.6,42.0
182,35.0,15.4,20.6,21.0
183,35.0,16.0,36.2,20.0
184,35.0,16.2,18.6,36.0
185,35.0,18.8,19.0,29.0
186,36.0,0.0,68.40000000000002,54.0
187,36.0,4.8,60.4,41.0
188,36.0,5.4,41.2,38.0
189,36.0,8.199999999999998,24.8,50.0
190,36.0,11.4,20.6,44.0
191,36.0,11.4,20.8,34.0
192,36.0,11.6,20.2,42.0
193,36.0,11.6,20.4,34.0
194,36.0,11.6,21.0,30.0
195,36.0,12.2,19.4,61.0
196,36.0,12.4,20.4,31.0
197,36.0,12.8,18.6,42.0
198,36.0,15.4,20.6,20.0
199,36.0,16.2,18.6,36.0
200,36.0,18.8,19.0,29.0
201,37.0,0.0,68.40000000000002,54.0
202,37.0,4.8,60.4,41.0
203,37.0,5.4,41.2,38.0
204,37.0,8.199999999999998,24.8,50.0
205,37.0,11.4,20.6,44.0
206,37.0,11.4,20.8,34.0
207,37.0,11.6,20.2,42.0
208,37.0,11.6,20.4,34.0
209,37.0,11.6,21.0,30.0
210,37.0,12.2,19.4,61.0
211,37.0,12.4,20.4,31.0
212,37.0,12.8,18.6,42.0
213,37.0,14.0,18.8,28.0
214,37.0,15.4,20.6,20.0
215,37.0,16.2,18.6,36.0
216,38.0,0.0,68.40000000000002,54.0
217,38.0,4.8,60.4,41.0
218,38.0,5.4,41.2,25.0
219,38.0,8.199999999999998,24.8,50.0
220,38.0,11.4,20.0,73.0
221,38.0,11.4,20.6,44.0
222,38.0,11.4,20.8,34.0
223,38.0,11.6,20.2,42.0
